Name,Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg,BestBenchKg
Arturs Paikis,M,Raw,25.5,104.35,250.0,290.0,160.0
Anthony Diez,M,Raw,19.0,88.6,-197.5,240.0,120.0
Kelly Tinsman,F,Wraps,40.0,85.8,107.5,122.5,45.0
Denny Chung,M,Single-ply,20.5,73.9,210.0,250.0,125.0
Erik Røen,M,Raw,20.5,133.71,297.5,322.5,187.5
Jordan Leong,M,Wraps,21.0,66.3,152.5,220.0,100.0
Alfred Jong,M,Raw,31.5,58.76,172.5,222.5,110.0
Mary Giffin,F,Raw,44.5,62.85,137.5,145.0,82.5
Samantha Nava,F,Raw,24.5,55.0,90.0,132.5,47.5
Stephanie Thies,F,Wraps,38.0,52.0,112.5,105.0,62.5
Andreas Hjelmtveit,M,Single-ply,31.5,110.95,395.0,375.0,235.0
Jun Furukawa,M,Raw,18.5,81.72,230.0,275.0,120.0
Christian Flores,M,Single-ply,16.5,55.9,117.5,137.5,67.5
Alexis Snider,F,Raw,15.5,57.9,77.5,100.0,35.0
Franklin Leon,M,Single-ply,33.5,59.25,280.0,235.0,177.5
Francesco Catalano,M,Wraps,22.0,90.0,233.6,254.01,170.1
Dallas White,M,Raw,31.0,72.4,175.0,220.0,122.5
Ivan Michael Legaspi,M,Wraps,22.0,66.4,167.5,190.0,100.0
Joseph Millslagle,M,Raw,31.0,95.5,200.0,280.0,182.5
Shannon Kehoe,F,Wraps,22.0,55.8,102.5,142.5,77.5
John Nocito,M,Single-ply,22.0,74.0,200.0,215.0,142.5
Jesse Shelton,M,Raw,29.0,81.5,185.0,215.0,145.0
An Vu,M,Raw,18.0,59.8,105.0,142.5,72.5
Al Serna,M,Raw,23.0,65.23,167.5,160.0,120.0
Andrew Loulanting,M,Raw,20.5,101.5,207.5,255.0,132.5
Lacey Mesley,F,Raw,30.0,74.8,177.5,195.0,95.0
Lincoln Grant,M,Wraps,30.0,96.8,255.0,295.0,130.0
Rebekah Fontana,F,Raw,18.5,50.16,77.5,100.0,40.0
Jadynn Mendez,M,Wraps,14.0,64.8,110.0,137.5,62.5
Mikayla Keeley,F,Raw,21.5,55.3,82.5,110.0,37.5
Brian Irmiter,M,Wraps,27.0,100.0,237.5,242.5,182.5
Alina Chashchyna,F,Raw,14.5,42.76,85.0,110.0,50.0
Lindsey Pennel,F,Single-ply,16.5,50.85,97.5,113.4,45.4
Brandon Davis,M,Raw,17.0,100.0,142.88,183.7,111.13
Kaci Rael,F,Single-ply,14.5,88.8,115.0,117.5,65.0
Ken Alexander,M,Raw,58.0,80.8,137.5,165.0,75.0
Clancy Jones,M,Raw,30.5,136.3,190.0,240.0,162.5
Collin Wilson,M,Raw,17.0,134.1,195.0,222.5,125.0
Juliana Mazzeo,F,Raw,21.5,69.2,112.5,127.5,62.5
Kevin Koch,M,Single-ply,35.5,160.8,370.0,290.0,352.5
Josh Ballou,M,Raw,36.5,101.8,197.5,220.0,160.0
Andrew Shuman,M,Raw,15.0,88.3,155.0,187.5,90.0
Andrew Syvertsen,M,Wraps,20.0,86.2,175.0,202.5,97.5
Aleksandr Kozhevnikov,M,Wraps,24.0,108.5,250.0,240.0,190.0
Sarah Houhoulis,F,Raw,24.5,63.3,130.0,140.0,82.5
Matt Middleton,M,Wraps,29.0,102.6,302.5,300.0,202.5
Nate Bush,M,Raw,19.5,102.9,220.0,272.5,132.5
Liz Gasca,F,Raw,26.0,63.8,95.0,107.5,47.5
Henrique Sinihur,M,Raw,22.5,119.34,285.0,285.0,167.5
Grace Matthews,F,Wraps,16.0,67.0,127.5,115.0,70.0
Priscilla Ribic,F,Single-ply,42.5,71.86,225.0,248.0,145.0
Gayla Channel,F,Raw,54.0,47.99,80.0,122.5,46.0
Amanda Johnson,F,Raw,31.5,89.7,117.5,137.5,55.0
RB Hayes,M,Raw,36.0,120.0,225.0,240.0,125.0
Courtney Pascoe,F,Raw,36.5,71.9,110.0,137.5,60.0
Edith Guennec,F,Raw,59.5,54.52,110.0,150.5,55.0
Jeanne Hardy,F,Wraps,43.0,113.5,142.5,137.5,90.0
Maria Gudsteinsdottir,F,Single-ply,43.5,70.8,180.0,182.5,105.0
Lyndall Vile,F,Wraps,29.0,76.4,207.5,210.0,105.0
Odell Manuel,M,Wraps,37.0,150.9,430.0,400.0,245.0
Kathy Tran,F,Raw,21.0,54.8,92.5,112.5,47.5
Celeste Ramazani,F,Multi-ply,32.0,70.03,113.4,129.27,49.9
Mark Chieco,M,Raw,38.0,98.4,260.0,250.0,222.5
Kyle DePew,M,Raw,16.0,110.0,155.0,205.0,105.0
Kara Schmidt,F,Raw,39.0,74.6,117.5,127.5,62.5
Andrew Parsons,M,Wraps,26.0,89.5,255.0,272.5,171.0
John Roy,M,Raw,32.5,90.6,170.0,205.0,122.5
Elena Hernandez,F,Raw,14.5,67.7,105.0,135.0,50.0
Jenna Marcinkowski,F,Wraps,22.0,80.15,150.0,165.0,85.0
Eva Whittimore,F,Wraps,36.0,59.1,117.5,157.5,75.0
Katrina McIntosh,F,Raw,49.5,81.5,125.0,145.0,55.0
Georgia Gillie,F,Raw,30.5,102.9,115.0,122.5,70.0
Joseph Gast,M,Raw,22.0,80.5,147.5,227.5,100.0
Russell Clark,M,Single-ply,53.5,91.9,280.0,282.5,190.0
Brad Cikana,M,Single-ply,30.0,135.62,282.5,255.0,252.5
Clifton Braun,M,Wraps,28.0,111.67,160.0,175.0,90.0
Sergey Gladkikh,M,Single-ply,19.5,66.8,290.0,280.0,195.0
Davy Capriles,M,Wraps,18.0,107.2,245.0,230.0,185.0
Mihir Kamani,M,Raw,23.0,97.4,212.5,275.0,142.5
Jessica Saywell,F,Raw,25.5,77.0,137.5,177.5,85.0
Brett Carruthers,M,Wraps,29.0,80.3,195.0,220.0,125.0
Fabian Oseguera,M,Wraps,17.0,90.08,120.0,150.0,102.5
Nicholas Griepentrog,M,Raw,38.5,152.65,230.0,232.5,140.0
Tom Kane,M,Wraps,27.0,118.2,310.0,305.0,182.5
Jason Sickels,M,Raw,19.5,100.7,240.0,225.0,160.0
Joe Kelty,M,Raw,56.0,86.9,150.0,162.5,97.5
Thomas Arrington,M,Single-ply,75.0,112.3,185.0,182.5,142.5
Spencer Westwood,M,Multi-ply,28.0,74.93,-322.5,250.0,185.0
Christian Kennedy,M,Raw,28.5,118.35,217.5,245.0,120.0
David Brekke,M,Single-ply,42.0,79.92,142.5,190.0,105.0
Paulina Castaneda,F,Wraps,19.0,54.8,105.0,130.0,55.0
Irina Minikhanova,F,Raw,19.5,61.25,120.0,127.5,70.0
Dawson Hall,M,Raw,22.5,119.8,257.5,285.0,167.5
Jason Cacho,M,Raw,21.5,65.7,105.0,175.0,80.0
Tavita Lipine,M,Raw,59.5,109.1,300.0,280.0,160.0
Tyla Hughes,F,Single-ply,23.5,59.6,115.0,117.5,65.0
Ashley Orth,F,Wraps,22.0,59.28,97.5,127.5,62.5
Sandy Edwards,F,Raw,24.0,88.1,100.0,127.5,50.0
Tyler Trent,M,Wraps,21.0,81.74,182.5,212.5,137.5
Mike Effner,M,Raw,31.5,91.69,210.0,230.0,172.5
Kloie Doublin,F,Raw,17.5,71.19,168.5,200.5,107.5
Aderire Fakorede,M,Raw,20.0,123.8,27.5,287.5,162.5
Ian Henderson,M,Wraps,26.0,98.7,250.0,245.0,150.0
Justin Hunter,M,Wraps,28.0,89.6,225.0,300.0,152.5
Nick Cambero,M,Raw,25.0,78.11,220.0,240.0,142.5
Melis Papila,F,Raw,28.5,61.12,122.5,152.5,62.5
Channing Doyle,M,Wraps,27.0,94.62,285.0,305.0,172.5
Taylor Kearns,F,Raw,15.0,57.9,80.0,107.5,47.5
James Frecklington,M,Raw,21.5,91.44,230.0,275.0,137.5
Natalie Osburn,F,Raw,38.0,79.6,115.0,127.5,50.0
Joseph Williams,M,Raw,31.0,95.4,205.0,272.5,152.5
Tim Mugglestone,M,Raw,25.5,91.1,197.5,217.5,117.5
Ron Pagal,M,Single-ply,67.0,105.32,210.0,210.0,160.0
Jade Dickens,F,Raw,42.5,110.5,175.0,170.0,122.5
Mathew Gorle,M,Wraps,24.0,82.4,177.5,187.5,112.5
Briana Duval,F,Raw,26.5,56.1,127.5,150.0,67.5
Mandy Lewis,F,Raw,35.0,74.0,137.5,157.5,70.0
Daryl Carlin,M,Raw,15.0,90.0,142.88,183.7,131.54
Kate Hart,F,Wraps,21.0,74.5,157.5,167.5,85.0
Mike Knickrehm,M,Raw,61.0,130.2,92.5,152.5,80.0
Dawn Bogart,F,Wraps,42.0,58.97,136.08,158.76,92.99
Nesi Laukau,F,Raw,21.5,70.95,142.5,150.0,80.0
Thad Harless,M,Wraps,40.0,133.9,322.5,277.5,205.0
Michael Polis,M,Wraps,23.0,73.39,151.95,192.78,127.01
Danielle Crain,F,Raw,28.5,108.3,62.5,112.5,65.0
Nicolas Skaarup,M,Raw,26.5,119.0,255.0,275.0,195.0
Jasmine Saenz,F,Raw,25.0,59.7,135.0,142.5,65.0
Manjot Jassal,M,Raw,19.5,92.2,172.5,230.0,105.0
Cayley McClean,F,Raw,22.5,80.6,145.0,182.5,77.5
Justin Graalfs,M,Multi-ply,33.0,120.38,477.5,350.0,317.5
Sukh-Ochir Yura,M,Raw,46.5,92.54,205.0,262.5,60.0
Greg Norby,M,Wraps,22.0,80.4,260.0,242.5,170.0
Alex Berg,M,Raw,20.0,59.6,165.0,190.0,120.0
Derek Dickinson,M,Raw,28.0,98.93,265.0,297.5,195.0
Chris Boette,M,Raw,34.0,86.7,155.0,185.0,92.5
Candace Lord,F,Raw,32.5,64.7,120.0,145.0,70.0
Erik Zepeda,M,Raw,18.0,63.28,107.5,140.0,90.0
Brad Kretch,M,Wraps,58.0,122.79,257.5,292.5,117.5
Joshua Masterson,M,Raw,23.0,150.6,240.0,265.0,160.0
Raynie Exum,F,Single-ply,19.5,80.8,65.0,117.5,57.5
Adam Beck,M,Raw,19.5,63.9,160.0,175.0,95.0
Mia Kukkonen,F,Wraps,43.0,58.0,115.0,135.0,60.0
Cyndi Ambert,F,Raw,44.0,58.24,127.5,122.5,80.0
Mike Tiktinsky,M,Raw,68.0,86.9,117.5,137.5,95.0
Noah Ancheta,M,Raw,23.0,66.1,205.0,240.0,147.5
Shelby Horton,F,Raw,25.5,61.0,100.0,125.0,52.5
Jan Bast,M,Single-ply,35.5,91.99,315.0,300.0,270.0
Dustine Stevens,F,Wraps,44.0,85.0,105.0,145.0,75.0
Josh Felix,M,Wraps,30.0,87.1,182.5,235.0,117.5
Lauren Croft,F,Raw,27.5,61.25,100.0,105.0,65.0
Jonathan Allen,M,Raw,24.5,80.0,132.5,167.5,92.5
Karina Mariscal,F,Raw,23.0,55.6,82.5,105.0,45.0
Drew Detmers,M,Wraps,24.0,132.1,237.5,272.5,130.0
Michael Butler,M,Wraps,21.0,98.07,210.0,230.0,137.5
Dillion Bibo,M,Wraps,22.0,96.8,250.0,287.5,152.5
Amber Joy,F,Raw,39.5,56.3,82.5,102.5,57.5
Elizabeth Disney,F,Raw,26.0,57.1,107.5,125.0,50.0
Peter Vestas,M,Wraps,19.0,73.2,132.5,167.5,92.5
Cassy Krause,F,Wraps,57.0,65.59,82.5,125.0,50.0
Luke Dreier,M,Wraps,30.0,119.4,300.0,330.0,187.5
Jean-Paul Belmas,M,Raw,64.5,98.35,200.0,200.0,100.0
Jared Theriault,M,Raw,22.5,79.12,190.0,212.5,132.5
David Decouleur,M,Raw,43.5,81.6,215.0,265.0,125.0
Aixa Roche,F,Raw,44.5,71.16,117.5,137.5,67.5
Matthew Treherne,M,Raw,27.5,91.38,270.0,312.5,165.0
Josh Goodman,M,Raw,36.0,108.86,183.7,226.8,145.15
Janeth Garcia,F,Raw,22.5,72.3,85.0,120.0,50.0
Aaron Morekin,M,Raw,22.0,81.47,142.88,163.29,113.4
Teresa Dinh,F,Raw,22.0,65.4,90.0,137.5,55.0
Kimberly Daorerk,F,Wraps,31.0,60.0,120.0,162.5,67.5
Ville Suominen,M,Wraps,34.0,107.9,330.0,320.0,185.0
Rafael González,M,Raw,18.5,88.27,202.5,225.0,142.5
Amanda Lee,F,Wraps,14.0,61.2,67.5,95.0,37.5
Joseph Craft,M,Raw,27.0,119.5,257.5,255.0,197.5
Brodie Besler,M,Raw,18.5,147.1,260.0,240.0,145.0
Kristi Cloud,F,Raw,46.0,57.88,47.5,92.5,25.0
Ann Whitmarsh,F,Raw,62.5,56.68,77.5,102.5,37.5
Kimberly Mills,F,Wraps,40.0,104.6,147.5,170.0,67.5
Megan Tang,F,Raw,20.0,51.2,105.0,145.0,57.5
Jervis Penn,M,Raw,46.0,134.68,155.0,227.5,155.0
Kevin Chou,M,Raw,23.0,93.6,260.0,265.0,152.5
Chance Cianciola,M,Raw,30.0,80.9,182.5,240.0,137.5
Frankie Murrieta,M,Wraps,34.0,66.86,182.5,215.0,132.5
Parker Duckworth,M,Raw,27.0,73.3,165.0,187.5,100.0
Nina Dilorenzo,F,Raw,26.0,65.4,110.0,125.0,50.0
Sergio Guevara,M,Raw,21.0,92.7,147.5,220.0,107.5
Jean-Luc Collart,M,Single-ply,52.5,118.95,350.0,295.0,220.0
Zach Roberts,M,Raw,29.0,82.37,155.0,195.0,120.0
Samuel Johnson,M,Single-ply,21.5,102.8,235.0,240.0,167.5
Cesar Galvan,M,Raw,29.0,73.0,135.0,185.0,92.5
Vanessa Hearn,F,Wraps,30.0,100.79,167.5,220.0,92.5
Zdeno Briš,M,Wraps,23.0,73.95,180.0,220.0,127.5
Cesar Trinidad,M,Raw,23.0,66.7,137.5,175.0,90.0
Jonathan Mead,M,Raw,19.5,100.03,237.5,260.0,142.5
Massimiliano Buccioni,M,Single-ply,39.5,82.67,305.0,290.0,187.5
Izzy Greenblatt,F,Raw,20.5,82.3,127.5,157.5,60.0
Juan Sanchez,M,Raw,25.5,74.0,190.0,227.5,122.5
Zachary Rollar,M,Raw,21.5,80.0,175.0,212.5,120.0
Donald Rogers,M,Raw,24.5,92.1,247.5,305.0,150.0
Ja'Nae Shelton,F,Raw,26.5,128.8,137.5,145.0,60.0
Cayte Bona AZ,F,Single-ply,26.0,66.1,152.5,157.5,110.0
Anne Hoffman,F,Raw,55.5,53.8,97.5,120.0,52.5
Yifan Yang,F,Single-ply,24.0,59.45,95.0,130.0,52.5
Quinton Bagayas,M,Single-ply,29.0,107.2,287.5,255.0,170.0
Colleen Castillo,F,Raw,21.0,85.1,110.0,140.0,87.5
Saeid Sharifisedeh,M,Raw,28.5,82.1,240.0,255.0,167.5
Steve Jellett,M,Wraps,27.0,89.5,240.0,255.0,135.0
Jeny Francisco,F,Wraps,29.0,73.48,107.5,132.5,55.0
Vinny Porcelli,M,Raw,20.0,94.1,172.5,205.0,105.0
Marte Elverum,F,Single-ply,25.5,71.7,230.0,235.0,127.5
Vicky Fox,F,Raw,49.0,77.3,75.0,125.0,50.0
Albert Lopez,M,Raw,49.5,99.5,227.5,262.5,157.5
Cassandra Pinto,F,Wraps,21.0,84.8,152.5,155.0,80.0
Mike Mason,M,Raw,25.0,57.61,172.37,201.85,102.06
Rafael Wilson,M,Raw,31.0,89.9,200.0,207.5,137.5
Mikey Mitchell,M,Wraps,15.0,71.85,154.22,181.44,90.72
Keith Kanemoto,M,Single-ply,48.0,87.63,277.5,255.0,220.0
Eric Gundrum,M,Raw,27.0,106.3,245.0,280.0,190.0
Jonathan Seymour,M,Raw,50.5,99.55,227.5,235.0,155.0
Kristy Kinney,F,Wraps,25.0,87.0,105.0,130.0,52.5
Richard Neumann,M,Raw,61.0,89.4,147.5,187.5,112.5
Anthony Brandon,M,Raw,24.0,97.3,195.0,227.5,127.5
Amanda Brothers,F,Raw,25.0,66.6,90.0,122.5,57.5
Josef Maier,M,Raw,26.0,89.6,190.0,220.0,142.5
Qua Scott,M,Raw,28.0,109.55,255.0,260.0,187.5
Nicola Frazer,F,Raw,30.5,45.0,105.0,117.5,73.0
Rebecca Bruce,F,Raw,44.0,56.0,95.0,162.5,60.0
Jesse Stevenson,M,Raw,24.5,81.9,177.5,225.0,110.0
Riccardo Duldulao,M,Raw,23.5,69.22,167.5,237.5,130.0
Ervin Gainer,M,Single-ply,33.5,51.5,190.0,217.5,125.0
Stirling Mason,M,Raw,24.5,81.8,150.0,205.0,125.0
James Rhoads,M,Wraps,27.0,98.2,200.0,237.5,150.0
Audunn Jonsson,M,Single-ply,36.5,142.2,385.0,355.0,250.0
Ruben Ramirez,M,Wraps,20.0,89.63,265.0,272.5,147.5
Anthony Hobaica,M,Raw,28.0,81.01,282.5,295.5,210.0
Lee Yang,M,Raw,22.5,66.0,157.5,162.5,107.5
Dustin Peters,M,Single-ply,19.0,110.0,195.0,242.5,150.0
Kyndall Foust,F,Single-ply,19.5,83.36,230.0,200.0,117.5
Charlene Cadavis,F,Raw,30.0,90.0,-162.5,190.0,80.0
Ruben Garcia,M,Wraps,24.0,90.81,212.5,220.0,125.0
Brent Delgado,M,Raw,23.0,97.9,250.0,300.0,177.5
Corey Deutsch,M,Raw,26.5,91.2,197.5,230.0,127.5
Randy Sue,M,Raw,21.0,89.1,220.0,225.0,147.5
Kim Keen,F,Raw,47.0,77.88,95.0,120.0,67.5
Kimmy Brooks,F,Wraps,28.0,74.1,175.0,192.5,77.5
Khalid Khalil,M,Wraps,23.0,96.98,187.5,237.5,120.0
Nayell Palomino,F,Wraps,21.0,66.95,105.0,142.5,52.5
Megan Smith,F,Raw,39.0,74.8,95.0,105.0,57.5
Ivan Vers,M,Raw,22.5,63.2,162.5,195.0,120.0
Jennifer Millican,F,Raw,33.5,56.14,174.5,187.5,100.0
Scott Young,M,Wraps,40.0,143.29,249.48,276.69,154.22
Chase Noll,M,Raw,33.0,105.0,207.5,252.5,152.5
Eric Leitman,M,Wraps,26.0,94.17,275.0,287.5,167.5
Rangimaria Brightwater-Wharf,F,Single-ply,55.5,60.7,130.0,160.0,85.0
William Gogolla,M,Single-ply,18.5,73.85,220.0,245.0,110.0
Hollly Sullivan,F,Raw,37.0,88.8,85.0,117.5,40.0
Amanda Brothers,F,Raw,26.0,59.1,95.0,120.0,60.0
Glen Pfleegor Jr,M,Wraps,17.5,59.24,90.72,129.27,49.9
Christy James,F,Raw,40.0,86.0,117.5,170.0,60.0
Tyler Branch,M,Wraps,22.0,113.45,240.0,272.5,145.0
Cassandra Pullins,F,Raw,35.5,83.9,132.5,142.5,72.5
Katie Ford,F,Single-ply,19.0,74.25,152.5,165.0,95.0
Mark Danyluk,M,Raw,49.0,153.3,182.5,227.5,230.0
Joel Keleher,M,Raw,25.5,90.55,165.0,197.5,127.5
Gage Peterson,M,Wraps,12.0,75.0,150.0,147.5,75.0
Chance Cole,M,Raw,17.5,85.0,165.0,195.0,90.0
